Änderung am,Produktgruppe,Land/Marketplace,Phase,Feld,Datum,Mitarbeiter
2025-07-23 10:09:15,NF,jp,1,Kontrolle,2025-02-04,HI
2025-07-23 10:09:15,NH,co.uk,1,Kontrolle,2025-02-19,HI
2025-07-23 10:09:15,NF,fr,1,Kontrolle,2025-02-17,DM
2025-07-23 10:09:15,NA,sg,1,Kontrolle,2025-02-28,EK
2025-07-23 10:09:15,NA,sg,1,Kontrolle,2025-02-12,HI
2025-07-23 10:09:15,NH,sg,2,BE am,2025-02-17,HI
2025-07-23 10:09:15,NH,sg,3,K am,2025-02-19,HI
2025-07-23 10:09:15,NF,sg,1,Kontrolle,2025-02-17,DM
2025-07-23 10:09:15,NF,se,1,Kontrolle,2025-02-17,DM
2025-07-23 10:09:15,NH,tr,4,C am,2025-02-13,JHU
2025-07-23 10:09:15,NA,jp,1,Kontrolle,2025-02-18,HI
2025-07-23 10:09:15,NF,au,1,Kontrolle,2025-02-04,HI
2025-07-23 10:09:15,NF,au,4,C am,2025-02-12,JHU
2025-07-23 10:09:15,NF,pl,1,Kontrolle,2025-02-10,SM
2025-07-23 10:09:15,NF,pl,1,Kontrolle,2025-02-13,DM
2025-07-23 10:09:15,NF,pl,1,Kontrolle,2025-02-04,HI
2025-07-23 10:09:15,NA,com.mx,1,Kontrolle,2025-02-28,EK
2025-07-23 10:09:15,NA,com,1,Kontrolle,2025-02-17,LK
2025-07-23 10:09:15,NF,tr,1,Kontrolle,2025-02-03,HI
2025-07-23 10:09:15,NF,co.uk,1,Kontrolle,2025-02-17,DM
2025-07-23 10:09:15,NF,es,1,Kontrolle,2025-02-17,DM
2025-07-23 10:09:15,NF,tr,1,Kontrolle,2025-02-10,SM
2025-07-23 10:09:15,NA,tr,1,Kontrolle,2025-02-11,HI
2025-07-23 10:09:15,NA,pl,1,Kontrolle,2025-02-28,EK
2025-07-23 10:09:15,NA,tr,2,BE am,2025-02-27,LK
2025-07-23 10:36:41,NF,jp,1,Kontrolle,2025-02-04,HI
2025-07-23 10:36:41,NH,co.uk,1,Kontrolle,2025-02-19,HI
2025-07-23 10:36:41,NF,fr,1,Kontrolle,2025-02-17,DM
2025-07-23 10:36:41,NA,sg,1,Kontrolle,2025-02-28,EK
2025-07-23 10:36:41,NA,sg,1,Kontrolle,2025-02-12,HI
2025-07-23 10:36:41,NH,sg,2,BE am,2025-02-17,HI
2025-07-23 10:36:41,NH,sg,3,K am,2025-02-19,HI
2025-07-23 10:36:41,NF,sg,1,Kontrolle,2025-02-17,DM
2025-07-23 10:36:41,NF,se,1,Kontrolle,2025-02-17,DM
2025-07-23 10:36:41,NH,tr,4,C am,2025-02-13,JHU
2025-07-23 10:36:41,NA,jp,1,Kontrolle,2025-02-18,HI
2025-07-23 10:36:41,NF,au,1,Kontrolle,2025-02-04,HI
2025-07-23 10:36:41,NF,au,4,C am,2025-02-12,JHU
2025-07-23 10:36:41,NF,pl,1,Kontrolle,2025-02-10,SM
2025-07-23 10:36:41,NF,pl,1,Kontrolle,2025-02-13,DM
2025-07-23 10:36:41,NF,pl,1,Kontrolle,2025-02-04,HI
2025-07-23 10:36:41,NA,com.mx,1,Kontrolle,2025-02-28,EK
2025-07-23 10:36:41,NA,com,1,Kontrolle,2025-02-17,LK
2025-07-23 10:36:41,NF,tr,1,Kontrolle,2025-02-03,HI
2025-07-23 10:36:41,NF,co.uk,1,Kontrolle,2025-02-17,DM
2025-07-23 10:36:41,NF,es,1,Kontrolle,2025-02-17,DM
2025-07-23 10:36:41,NF,tr,1,Kontrolle,2025-02-10,SM
2025-07-23 10:36:41,NA,tr,1,Kontrolle,2025-02-11,HI
2025-07-23 10:36:41,NA,pl,1,Kontrolle,2025-02-28,EK
2025-07-23 10:36:41,NA,tr,2,BE am,2025-02-27,LK
